Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2021.0,1.0,1.0,12.8,24.1,18.1,18.2,23.0
2021.0,1.0,2.0,10.6,23.5,16.5,16.6,23.0
2021.0,1.0,3.0,9.8,24.9,15.8,16.6,21.0
2021.0,1.0,4.0,10.7,23.1,16.1,16.3,23.0
2021.0,1.0,5.0,11.5,15.3,13.4,13.2,14.0
2021.0,1.0,6.0,15.2,24.5,19.8,21.4,11.0
2021.0,1.0,7.0,9.1,25.1,16.6,16.6,24.0
2021.0,1.0,8.0,9.4,23.4,16.0,16.2,23.0
2021.0,1.0,9.0,9.2,25.9,15.5,15.9,22.0
2021.0,1.0,10.0,8.0,25.2,16.7,17.5,20.0
2021.0,1.0,11.0,8.9,28.4,18.7,19.0,23.0
2021.0,1.0,12.0,8.8,26.6,18.4,18.3,22.0
2021.0,1.0,13.0,9.0,26.4,17.6,17.7,22.0
2021.0,1.0,14.0,8.0,24.4,16.7,16.7,21.0
2021.0,1.0,15.0,8.7,27.1,17.3,17.8,23.0
2021.0,1.0,16.0,9.9,24.4,17.8,17.8,23.0
2021.0,1.0,17.0,9.5,25.8,18.1,18.5,22.0
2021.0,1.0,18.0,9.4,18.3,17.5,17.1,21.0
2021.0,1.0,19.0,15.8,25.6,20.7,22.4,10.0
2021.0,1.0,20.0,10.2,25.1,16.9,16.9,24.0
2021.0,1.0,21.0,10.8,25.3,17.3,16.2,19.0
2021.0,1.0,22.0,11.4,17.3,14.3,18.5,21.0
2021.0,1.0,23.0,13.9,18.3,16.1,19.0,21.0
2021.0,1.0,24.0,12.1,26.3,19.2,18.6,19.0
2021.0,1.0,25.0,13.4,25.1,18.3,17.6,21.0
2021.0,1.0,26.0,14.0,24.5,17.3,18.1,18.0
2021.0,1.0,27.0,10.3,27.3,17.4,17.3,18.0
2021.0,1.0,28.0,16.5,29.1,22.8,18.7,20.0
2021.0,1.0,29.0,11.3,20.9,19.1,19.0,19.0
2021.0,1.0,30.0,18.2,25.2,21.7,19.1,19.0
2021.0,1.0,31.0,18.8,26.1,22.4,20.2,19.0
