Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1988,9,1,0.8,9.0,4.9,5.3,5
1988,9,2,-2.4,12.8,5.2,5.8,5
1988,9,3,-1.0,11.2,5.1,6.0,5
1988,9,4,5.0,11.3,8.2,8.1,5
1988,9,5,5.2,12.2,8.7,9.3,5
1988,9,6,6.4,13.2,9.8,9.6,5
1988,9,7,4.4,7.8,6.1,6.9,5
1988,9,8,3.3,10.2,6.7,6.1,5
1988,9,9,4.2,8.2,6.2,5.9,5
1988,9,10,4.6,8.7,6.6,7.0,5
1988,9,11,5.7,10.3,8.0,8.0,5
1988,9,12,6.6,11.3,9.0,9.2,5
1988,9,13,5.8,11.7,8.8,9.2,5
1988,9,14,3.4,11.8,7.6,8.9,5
1988,9,15,-0.6,15.5,7.4,9.0,5
1988,9,16,-0.1,16.2,8.1,9.4,5
1988,9,17,0.5,16.9,8.7,10.1,5
1988,9,18,-1.0,13.7,6.3,9.2,5
1988,9,19,7.9,13.4,10.6,10.6,5
1988,9,20,6.2,12.7,9.4,10.9,5
1988,9,21,7.0,19.6,13.3,14.5,5
1988,9,22,6.4,14.4,10.4,11.7,5
1988,9,23,1.5,13.7,7.6,9.8,5
1988,9,24,5.7,9.8,7.8,7.6,5
1988,9,25,1.8,12.2,7.0,8.2,5
1988,9,26,1.7,12.2,6.9,8.4,5
1988,9,27,6.6,12.0,9.3,8.9,5
1988,9,28,7.4,13.0,10.2,10.4,5
1988,9,29,6.7,14.8,10.8,11.8,5
1988,9,30,6.2,13.4,9.8,10.6,5
