Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2018,6,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,2 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,3 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,4 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,5 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,6 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,7 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,8 ,s/p,s/p,s/p,s/p,s/p,s/p
2018,6,9 ,s/p,11.2,6.8,s/p,18.0,18.0
2018,6,10 ,s/p,s/p,8.4,5.8,14.2,32.2
2018,6,11 ,1.2,s/p,s/p,s/p,1.2,33.4
2018,6,12 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,13 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,14 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,15 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,16 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,17 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,18 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,19 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,20 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,21 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,22 ,s/p,s/p,s/p,s/p,s/p,33.4
2018,6,23 ,s/p,s/p,s/p,0.2,0.2,33.6
2018,6,24 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,25 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,26 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,27 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,28 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,29 ,s/p,s/p,s/p,s/p,s/p,33.6
2018,6,30 ,s/p,s/p,s/p,s/p,s/p,33.6
