Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
2009,8,1,-0.1,13.4,6.6,9.7,10
2009,8,2,5.8,16.1,11.0,11.1,10
2009,8,3,3.6,18.2,10.9,12.2,10
2009,8,4,8.8,12.2,10.5,10.8,10
2009,8,5,4.4,14.0,9.2,10.3,10
2009,8,6,2.4,13.2,7.8,6.0,10
2009,8,7,1.3,8.9,5.1,5.3,10
2009,8,8,-0.6,11.4,5.4,6.4,10
2009,8,9,-1.6,14.4,6.4,10.0,10
2009,8,10,2.6,18.0,10.3,13.3,10
2009,8,11,7.6,17.0,12.3,13.5,10
2009,8,12,9.1,11.6,10.4,10.6,10
2009,8,13,4.6,14.0,9.3,9.2,10
2009,8,14,11.0,15.0,13.0,13.1,10
2009,8,15,5.6,10.4,8.0,9.0,10
2009,8,16,1.0,15.2,8.1,11.7,10
2009,8,17,4.2,11.2,7.7,8.8,10
2009,8,18,8.1,13.0,10.6,10.1,10
2009,8,19,9.4,11.8,10.6,11.3,10
2009,8,20,6.5,16.2,11.4,14.0,10
2009,8,21,9.2,13.8,11.5,11.6,10
2009,8,22,7.0,15.8,11.4,12.6,10
2009,8,23,6.2,11.6,8.9,10.1,10
2009,8,24,7.9,15.4,11.6,12.8,10
2009,8,25,4.0,19.7,11.9,15.3,10
2009,8,26,8.2,19.4,13.8,16.1,10
2009,8,27,9.8,23.2,16.5,17.5,10
2009,8,28,7.1,22.7,14.9,17.4,10
2009,8,29,6.8,14.0,10.4,12.4,10
2009,8,30,10.4,14.2,12.3,12.4,10
2009,8,31,9.9,12.7,11.3,11.2,10
