Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2020.0,1.0,1.0,11.3,33.8,22.3,22.3,24.0
2020.0,1.0,2.0,9.1,33.2,20.0,20.0,24.0
2020.0,1.0,3.0,12.4,33.4,21.6,21.6,24.0
2020.0,1.0,4.0,14.1,31.9,21.9,21.9,24.0
2020.0,1.0,5.0,10.5,24.2,18.1,18.1,24.0
2020.0,1.0,6.0,7.8,27.3,16.7,16.7,24.0
2020.0,1.0,7.0,8.0,29.3,17.8,17.8,24.0
2020.0,1.0,8.0,14.1,23.1,17.6,17.6,24.0
2020.0,1.0,9.0,7.9,25.3,17.0,17.0,24.0
2020.0,1.0,10.0,6.6,28.6,17.8,17.8,24.0
2020.0,1.0,11.0,8.0,32.2,19.5,19.5,24.0
2020.0,1.0,12.0,9.0,35.7,21.3,21.3,24.0
2020.0,1.0,13.0,9.7,31.0,19.3,19.3,24.0
2020.0,1.0,14.0,10.1,29.7,20.1,20.1,24.0
2020.0,1.0,15.0,9.6,25.1,17.9,17.5,22.0
2020.0,1.0,16.0,7.9,31.9,19.9,19.1,21.0
2020.0,1.0,17.0,9.9,34.9,21.3,21.3,24.0
2020.0,1.0,18.0,10.7,33.7,21.4,21.4,24.0
2020.0,1.0,19.0,13.8,32.3,23.0,23.0,24.0
2020.0,1.0,20.0,11.8,33.1,21.3,21.3,24.0
2020.0,1.0,21.0,10.4,34.4,21.3,21.3,24.0
2020.0,1.0,22.0,14.0,31.7,22.1,22.1,24.0
2020.0,1.0,23.0,13.4,32.8,23.1,23.4,19.0
2020.0,1.0,24.0,13.1,34.0,22.1,22.4,23.0
2020.0,1.0,25.0,9.1,33.7,20.6,20.6,24.0
2020.0,1.0,26.0,13.3,33.3,23.3,23.3,24.0
2020.0,1.0,27.0,12.8,34.2,21.7,21.7,24.0
2020.0,1.0,28.0,13.4,32.4,22.0,22.0,24.0
2020.0,1.0,29.0,10.8,29.8,19.1,19.1,24.0
2020.0,1.0,30.0,9.2,20.0,14.6,15.7,18.0
2020.0,1.0,31.0,8.8,33.1,20.9,20.0,23.0
