Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1978.0,1.0,1.0,16.5,22.5,19.5,19.3,23.0
1978.0,1.0,2.0,16.8,23.0,19.5,19.5,24.0
1978.0,1.0,3.0,16.6,23.1,19.5,19.5,24.0
1978.0,1.0,4.0,17.1,23.1,19.4,19.4,24.0
1978.0,1.0,5.0,17.0,23.2,19.8,19.8,24.0
1978.0,1.0,6.0,17.4,23.4,19.9,19.9,24.0
1978.0,1.0,7.0,16.3,22.4,19.5,19.5,24.0
1978.0,1.0,8.0,18.2,23.2,19.9,19.9,24.0
1978.0,1.0,9.0,16.8,23.4,20.1,20.1,24.0
1978.0,1.0,10.0,17.2,23.4,19.6,19.6,24.0
1978.0,1.0,11.0,18.2,23.4,20.3,20.3,24.0
1978.0,1.0,12.0,19.2,23.1,20.4,20.4,24.0
1978.0,1.0,13.0,18.1,22.9,19.7,19.7,24.0
1978.0,1.0,14.0,16.2,22.6,19.0,19.0,24.0
1978.0,1.0,15.0,16.0,22.4,19.3,19.3,24.0
1978.0,1.0,16.0,15.7,22.6,19.1,19.1,24.0
1978.0,1.0,17.0,17.6,22.6,19.7,19.7,24.0
1978.0,1.0,18.0,16.5,23.0,19.6,19.6,24.0
1978.0,1.0,19.0,16.8,23.2,20.0,20.0,24.0
1978.0,1.0,20.0,17.9,23.8,20.3,20.3,24.0
1978.0,1.0,21.0,18.0,22.8,19.9,19.8,23.0
1978.0,1.0,22.0,17.5,23.6,19.8,19.8,24.0
1978.0,1.0,23.0,16.9,21.8,19.1,19.1,24.0
1978.0,1.0,24.0,15.4,22.4,18.8,18.8,24.0
1978.0,1.0,25.0,15.5,22.6,18.7,18.7,24.0
1978.0,1.0,26.0,15.8,22.6,19.4,19.4,24.0
1978.0,1.0,27.0,16.6,22.2,19.1,19.1,24.0
1978.0,1.0,28.0,16.8,23.4,19.6,19.6,24.0
1978.0,1.0,29.0,16.2,23.2,19.1,19.1,24.0
1978.0,1.0,30.0,17.2,23.8,20.0,20.0,24.0
1978.0,1.0,31.0,16.4,22.4,19.5,19.5,24.0
