Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2019.0,1.0,1.0,9.6,26.9,17.3,17.3,24.0
2019.0,1.0,2.0,12.0,25.4,18.0,18.0,24.0
2019.0,1.0,3.0,12.6,26.7,18.4,18.4,24.0
2019.0,1.0,4.0,10.8,26.4,18.2,18.2,24.0
2019.0,1.0,5.0,8.8,24.7,16.6,16.6,24.0
2019.0,1.0,6.0,7.5,23.6,15.3,15.3,24.0
2019.0,1.0,7.0,6.4,22.8,14.7,14.7,24.0
2019.0,1.0,8.0,6.1,23.9,14.4,14.4,24.0
2019.0,1.0,9.0,5.1,22.0,13.4,13.4,24.0
2019.0,1.0,10.0,4.9,22.5,13.0,13.0,24.0
2019.0,1.0,11.0,4.9,21.9,12.9,12.9,24.0
2019.0,1.0,12.0,4.9,21.8,12.7,12.7,24.0
2019.0,1.0,13.0,6.2,23.6,13.9,13.9,24.0
2019.0,1.0,14.0,6.5,24.6,15.0,15.0,24.0
2019.0,1.0,15.0,7.7,26.1,16.2,16.2,24.0
2019.0,1.0,16.0,8.7,26.5,16.8,16.8,24.0
2019.0,1.0,17.0,10.1,27.0,17.0,17.0,24.0
2019.0,1.0,18.0,9.5,26.6,17.1,17.1,24.0
2019.0,1.0,19.0,8.1,27.5,16.9,16.9,24.0
2019.0,1.0,20.0,9.1,27.8,18.0,18.0,24.0
2019.0,1.0,21.0,10.1,28.4,18.3,18.3,24.0
2019.0,1.0,22.0,10.4,29.6,19.1,19.1,24.0
2019.0,1.0,23.0,9.7,29.8,18.8,18.8,24.0
2019.0,1.0,24.0,12.6,32.4,19.9,19.9,24.0
2019.0,1.0,25.0,12.6,29.9,20.4,20.4,24.0
2019.0,1.0,26.0,13.4,30.0,19.6,19.6,24.0
2019.0,1.0,27.0,11.9,26.8,18.3,18.3,24.0
2019.0,1.0,28.0,11.2,26.3,17.4,17.4,24.0
2019.0,1.0,29.0,11.2,21.6,15.2,15.2,24.0
2019.0,1.0,30.0,9.7,16.9,11.8,11.8,24.0
2019.0,1.0,31.0,10.1,18.4,12.0,12.0,24.0
