Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1974,5,1 ,,,,,s/p,s/p
1974,5,2 ,,,,,s/p,s/p
1974,5,3 ,,,,,s/p,s/p
1974,5,4 ,,,,,s/p,s/p
1974,5,5 ,,,,,s/p,s/p
1974,5,6 ,,,,,s/p,s/p
1974,5,7 ,,,,,s/p,s/p
1974,5,8 ,,,,,s/p,s/p
1974,5,9 ,,,,,s/p,s/p
1974,5,10 ,,,,,s/p,s/p
1974,5,11 ,,,,,s/p,s/p
1974,5,12 ,,,,,s/p,s/p
1974,5,13 ,,,,,s/p,s/p
1974,5,14 ,,,,,s/p,s/p
1974,5,15 ,,,,,6.6,6.6
1974,5,16 ,,,,,2.7,9.3
1974,5,17 ,,,,,s/p,9.3
1974,5,18 ,,,,,s/p,9.3
1974,5,19 ,,,,,s/p,9.3
1974,5,20 ,,,,,s/p,9.3
1974,5,21 ,,,,,s/p,9.3
1974,5,22 ,,,,,14.6,23.9
1974,5,23 ,,,,,6.5,30.4
1974,5,24 ,,,,,16.4,46.8
1974,5,25 ,,,,,s/p,46.8
1974,5,26 ,,,,,s/p,46.8
1974,5,27 ,,,,,s/p,46.8
1974,5,28 ,,,,,s/p,46.8
1974,5,29 ,,,,,s/p,46.8
1974,5,30 ,,,,,s/p,46.8
1974,5,31 ,,,,,1.5,48.3
