Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1972,6,1 ,,,,,s/p,s/p
1972,6,2 ,,,,,s/p,s/p
1972,6,3 ,,,,,s/p,s/p
1972,6,4 ,,,,,s/p,s/p
1972,6,5 ,,,,,s/p,s/p
1972,6,6 ,,,,,6.0,6.0
1972,6,7 ,,,,,42.0,48.0
1972,6,8 ,,,,,8.0,56.0
1972,6,9 ,,,,,6.0,62.0
1972,6,10 ,,,,,8.0,70.0
1972,6,11 ,,,,,s/p,70.0
1972,6,12 ,,,,,s/p,70.0
1972,6,13 ,,,,,s/p,70.0
1972,6,14 ,,,,,19.0,89.0
1972,6,15 ,,,,,s/p,89.0
1972,6,16 ,,,,,s/p,89.0
1972,6,17 ,,,,,s/p,89.0
1972,6,18 ,,,,,s/p,89.0
1972,6,19 ,,,,,s/p,89.0
1972,6,20 ,,,,,s/p,89.0
1972,6,21 ,,,,,s/p,89.0
1972,6,22 ,,,,,s/p,89.0
1972,6,23 ,,,,,s/p,89.0
1972,6,24 ,,,,,s/p,89.0
1972,6,25 ,,,,,s/p,89.0
1972,6,26 ,,,,,s/p,89.0
1972,6,27 ,,,,,s/p,89.0
1972,6,28 ,,,,,s/p,89.0
1972,6,29 ,,,,,s/p,89.0
1972,6,30 ,,,,,s/p,89.0
