Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2017.0,1.0,1.0,-1.3,4.6,1.9,1.9,8.0
2017.0,1.0,2.0,0.0,5.5,2.1,2.1,8.0
2017.0,1.0,3.0,-0.6,2.5,1.0,1.0,8.0
2017.0,1.0,4.0,0.0,3.9,1.6,1.6,8.0
2017.0,1.0,5.0,0.3,1.7,0.8,0.8,8.0
2017.0,1.0,6.0,-1.1,1.6,0.4,0.4,8.0
2017.0,1.0,7.0,-0.7,3.2,1.0,1.0,8.0
2017.0,1.0,8.0,0.1,2.5,1.1,1.1,8.0
2017.0,1.0,9.0,1.3,4.0,2.1,2.1,8.0
2017.0,1.0,10.0,0.3,3.3,1.7,1.7,8.0
2017.0,1.0,11.0,0.5,6.8,2.2,2.2,8.0
2017.0,1.0,12.0,0.2,3.8,1.9,1.9,8.0
2017.0,1.0,13.0,-1.2,1.5,0.1,0.1,8.0
2017.0,1.0,14.0,0.0,2.1,0.9,0.9,8.0
2017.0,1.0,15.0,-0.3,2.0,0.5,0.5,8.0
2017.0,1.0,16.0,-0.6,0.8,0.0,0.0,8.0
2017.0,1.0,17.0,-0.5,4.5,1.4,1.4,8.0
2017.0,1.0,18.0,-0.3,5.8,2.4,2.4,8.0
2017.0,1.0,19.0,-1.5,8.1,2.8,2.8,8.0
2017.0,1.0,20.0,-0.4,3.4,1.5,1.5,8.0
2017.0,1.0,21.0,-0.5,4.1,1.1,1.1,8.0
2017.0,1.0,22.0,1.7,4.3,2.7,2.7,8.0
2017.0,1.0,23.0,0.3,3.1,1.4,1.4,8.0
2017.0,1.0,24.0,0.8,4.5,1.9,1.9,8.0
2017.0,1.0,25.0,0.5,2.4,1.7,1.7,8.0
2017.0,1.0,26.0,1.7,6.1,3.3,3.3,8.0
2017.0,1.0,27.0,2.3,4.0,3.2,3.2,8.0
2017.0,1.0,28.0,2.0,3.9,3.0,3.0,8.0
2017.0,1.0,29.0,2.0,3.3,2.9,2.9,8.0
2017.0,1.0,30.0,1.8,5.5,2.8,2.8,8.0
2017.0,1.0,31.0,1.6,5.5,2.8,2.8,8.0
