Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2021.0,9.0,1.0,2.7,21.2,11.0,11.0,24.0
2021.0,9.0,2.0,0.1,21.4,9.3,9.3,24.0
2021.0,9.0,3.0,3.0,10.1,6.6,7.6,23.0
2021.0,9.0,4.0,4.1,19.3,10.6,10.6,24.0
2021.0,9.0,5.0,8.5,19.0,11.6,11.9,23.0
2021.0,9.0,6.0,5.5,11.8,8.0,8.0,24.0
2021.0,9.0,7.0,1.7,17.6,8.3,8.3,24.0
2021.0,9.0,8.0,-1.4,19.2,7.8,8.5,23.0
2021.0,9.0,9.0,6.3,20.6,13.3,13.3,24.0
2021.0,9.0,10.0,4.0,21.1,12.8,12.7,23.0
2021.0,9.0,11.0,8.9,12.4,10.8,10.8,24.0
2021.0,9.0,12.0,5.8,14.1,9.1,9.1,24.0
2021.0,9.0,13.0,5.5,15.8,10.7,7.3,20.0
2021.0,9.0,14.0,0.2,16.7,8.5,8.8,23.0
2021.0,9.0,15.0,1.7,19.9,10.1,10.1,24.0
2021.0,9.0,16.0,2.5,22.4,12.3,11.8,23.0
2021.0,9.0,17.0,3.8,18.8,10.9,10.9,24.0
2021.0,9.0,18.0,4.1,19.1,11.9,11.9,24.0
2021.0,9.0,19.0,6.5,17.9,11.6,11.6,24.0
2021.0,9.0,20.0,6.2,21.2,12.1,12.1,24.0
2021.0,9.0,21.0,2.4,23.5,14.1,14.4,23.0
2021.0,9.0,22.0,8.0,20.2,13.3,13.3,24.0
2021.0,9.0,23.0,1.1,23.5,11.9,11.9,24.0
2021.0,9.0,24.0,11.7,29.6,20.7,15.5,22.0
2021.0,9.0,25.0,9.4,14.3,12.1,12.0,23.0
2021.0,9.0,26.0,5.8,18.3,10.9,10.9,24.0
2021.0,9.0,27.0,1.2,20.0,10.5,10.5,24.0
2021.0,9.0,28.0,1.9,24.9,13.3,13.3,24.0
2021.0,9.0,29.0,-0.4,21.1,9.4,9.4,24.0
2021.0,9.0,30.0,7.7,18.9,11.2,11.2,24.0
