Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
1996,8,1,-2.0,6.2,2.1,4.7,13
1996,8,2,3.0,7.6,5.3,6.0,13
1996,8,3,2.8,7.4,5.1,5.0,13
1996,8,4,1.6,6.5,4.1,4.8,13
1996,8,5,4.6,7.9,6.3,6.4,13
1996,8,6,1.8,6.0,3.9,4.6,13
1996,8,7,0.6,10.7,5.6,6.1,13
1996,8,8,1.0,4.4,2.7,1.7,13
1996,8,9,1.4,4.4,2.9,3.4,13
1996,8,10,3.1,5.6,4.3,3.6,13
1996,8,11,1.2,9.1,5.2,5.7,13
1996,8,12,-0.6,6.0,2.7,3.7,13
1996,8,13,4.4,7.6,6.0,5.1,13
1996,8,14,0.0,8.8,4.4,5.6,13
1996,8,15,4.4,12.6,8.5,9.5,13
1996,8,16,7.0,7.6,7.3,5.3,13
1996,8,17,3.1,13.5,8.3,8.1,13
1996,8,18,7.6,11.8,9.7,9.9,13
1996,8,19,6.4,14.2,10.3,10.8,13
1996,8,20,5.7,13.3,9.5,9.4,13
1996,8,21,2.4,8.9,5.6,6.2,13
1996,8,22,0.0,2.4,1.2,1.4,13
1996,8,23,0.8,7.5,4.2,4.8,13
1996,8,24,1.4,5.8,3.6,3.7,13
1996,8,25,-0.6,8.7,4.0,5.7,13
1996,8,26,2.6,8.3,5.5,6.7,13
1996,8,27,0.8,13.4,7.1,8.6,13
1996,8,28,4.9,11.3,8.1,8.7,13
1996,8,29,7.2,11.3,9.3,9.8,13
1996,8,30,7.8,11.4,9.6,8.9,13
1996,8,31,4.7,10.6,7.7,7.1,13
