Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1974,5,1 ,,,,,s/p,s/p
1974,5,2 ,,,,,s/p,s/p
1974,5,3 ,,,,,s/p,s/p
1974,5,4 ,,,,,s/p,s/p
1974,5,5 ,,,,,s/p,s/p
1974,5,6 ,,,,,s/p,s/p
1974,5,7 ,,,,,s/p,s/p
1974,5,8 ,,,,,s/p,s/p
1974,5,9 ,,,,,s/p,s/p
1974,5,10 ,,,,,s/p,s/p
1974,5,11 ,,,,,s/p,s/p
1974,5,12 ,,,,,s/p,s/p
1974,5,13 ,,,,,s/p,s/p
1974,5,14 ,,,,,s/p,s/p
1974,5,15 ,,,,,5.9,5.9
1974,5,16 ,,,,,3.6,9.5
1974,5,17 ,,,,,s/p,9.5
1974,5,18 ,,,,,s/p,9.5
1974,5,19 ,,,,,s/p,9.5
1974,5,20 ,,,,,s/p,9.5
1974,5,21 ,,,,,7.6,17.1
1974,5,22 ,,,,,13.0,30.1
1974,5,23 ,,,,,s/p,30.1
1974,5,24 ,,,,,16.1,46.2
1974,5,25 ,,,,,s/p,46.2
1974,5,26 ,,,,,s/p,46.2
1974,5,27 ,,,,,s/p,46.2
1974,5,28 ,,,,,s/p,46.2
1974,5,29 ,,,,,s/p,46.2
1974,5,30 ,,,,,s/p,46.2
1974,5,31 ,,,,,1.6,47.8
