Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2015,10,1 ,,,,,13.5,13.5
2015,10,2 ,,,,,s/p,13.5
2015,10,3 ,,,,,s/p,13.5
2015,10,4 ,,,,,52.0,65.5
2015,10,5 ,,,,,s/p,65.5
2015,10,6 ,,,,,s/p,65.5
2015,10,7 ,,,,,s/p,65.5
2015,10,8 ,,,,,s/p,65.5
2015,10,9 ,,,,,s/p,65.5
2015,10,10 ,,,,,s/p,65.5
2015,10,11 ,,,,,s/p,65.5
2015,10,12 ,,,,,1.0,66.5
2015,10,13 ,,,,,36.0,102.5
2015,10,14 ,,,,,39.0,141.5
2015,10,15 ,,,,,s/p,141.5
2015,10,16 ,,,,,s/p,141.5
2015,10,17 ,,,,,s/p,141.5
2015,10,18 ,,,,,s/p,141.5
2015,10,19 ,,,,,11.0,152.5
2015,10,20 ,,,,,s/p,152.5
2015,10,21 ,,,,,s/p,152.5
2015,10,22 ,,,,,s/p,152.5
2015,10,23 ,,,,,s/p,152.5
2015,10,24 ,,,,,22.5,175.0
2015,10,25 ,,,,,s/p,175.0
2015,10,26 ,,,,,s/p,175.0
2015,10,27 ,,,,,s/p,175.0
2015,10,28 ,,,,,s/p,175.0
2015,10,29 ,,,,,s/p,175.0
2015,10,30 ,,,,,s/p,175.0
2015,10,31 ,,,,,s/p,175.0
