Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1972,8,1 ,,,,,s/p,s/p
1972,8,2 ,,,,,s/p,s/p
1972,8,3 ,,,,,s/p,s/p
1972,8,4 ,,,,,s/p,s/p
1972,8,5 ,,,,,s/p,s/p
1972,8,6 ,,,,,s/p,s/p
1972,8,7 ,,,,,s/p,s/p
1972,8,8 ,,,,,s/p,s/p
1972,8,9 ,,,,,s/p,s/p
1972,8,10 ,,,,,s/p,s/p
1972,8,11 ,,,,,3.0,3.0
1972,8,12 ,,,,,s/p,3.0
1972,8,13 ,,,,,s/p,3.0
1972,8,14 ,,,,,s/p,3.0
1972,8,15 ,,,,,8.0,11.0
1972,8,16 ,,,,,0.7,11.7
1972,8,17 ,,,,,2.0,13.7
1972,8,18 ,,,,,43.0,56.7
1972,8,19 ,,,,,1.5,58.2
1972,8,20 ,,,,,s/p,58.2
1972,8,21 ,,,,,s/p,58.2
1972,8,22 ,,,,,s/p,58.2
1972,8,23 ,,,,,s/p,58.2
1972,8,24 ,,,,,s/p,58.2
1972,8,25 ,,,,,35.0,93.2
1972,8,26 ,,,,,1.0,94.2
1972,8,27 ,,,,,s/p,94.2
1972,8,28 ,,,,,s/p,94.2
1972,8,29 ,,,,,s/p,94.2
1972,8,30 ,,,,,s/p,94.2
1972,8,31 ,,,,,s/p,94.2
